-,n7,f2,k4,h4,p3,tesztalany1
+,n8,f1,k7,h6,p2,tesztalany1
-,n1,f6,k2,h5,p5,tesztalany1
-,n4,f4,k0,h8,p8,tesztalany1
-,n0,f0,k4,h0,p1,tesztalany1
+,n4,f9,k1,h2,p5,tesztalany1
-,n6,f5,k5,h1,p3,tesztalany1
+,n6,f3,k2,h7,p5,tesztalany1
+,n3,f6,k1,h8,p5,tesztalany1
-,n2,f1,k9,h3,p6,tesztalany1
-,n0,f4,k2,h4,p7,tesztalany1
-,n0,f4,k4,h2,p7,tesztalany1
-,n9,f7,k8,h6,p3,tesztalany1
-,n3,f7,k1,h7,p9,tesztalany1
-,n0,f9,k7,h5,p2,tesztalany1
-,n8,f8,k5,h1,p1,tesztalany1
-,n1,f4,k3,h9,p1,tesztalany1
-,n0,f1,k5,h0,p7,tesztalany1
-,n9,f7,k9,h8,p0,tesztalany1
-,n0,f8,k4,h9,p7,tesztalany1
-,n6,f7,k7,h3,p9,tesztalany1
+,n9,f0,k6,h1,p2,tesztalany1
-,n5,f1,k5,h0,p3,tesztalany1
-,n6,f8,k0,h0,p3,tesztalany1
-,n8,f9,k3,h2,p7,tesztalany1
-,n7,f3,k8,h6,p4,tesztalany1
-,n8,f2,k2,h5,p0,tesztalany1
-,n7,f8,k8,h4,p5,tesztalany1
+,n0,f4,k5,h6,p0,tesztalany1
+,n8,f9,k9,h2,p6,tesztalany1
-,n7,f0,k0,h9,p9,tesztalany1
-,n9,f8,k7,h8,p3,tesztalany1
-,n7,f7,k7,h2,p8,tesztalany1
-,n9,f0,k8,h6,p0,tesztalany1
+,n4,f4,k6,h8,p1,tesztalany1
-,n6,f0,k5,h6,p5,tesztalany1
-,n6,f0,k4,h3,p8,tesztalany1
-,n8,f4,k7,h9,p9,tesztalany1
-,n0,f7,k3,h2,p5,tesztalany1
-,n3,f6,k3,h4,p4,tesztalany1
+,n8,f7,k5,h3,p4,tesztalany1
-,n0,f0,k9,h5,p7,tesztalany1
+,n6,f1,k6,h6,p6,tesztalany1
-,n5,f4,k2,h0,p9,tesztalany1
-,n5,f2,k0,h8,p3,tesztalany1
-,n5,f8,k8,h4,p0,tesztalany1
-,n8,f5,k1,h5,p1,tesztalany1
-,n7,f2,k7,h2,p4,tesztalany1
-,n3,f4,k7,h6,p4,tesztalany1
+,n4,f3,k2,h6,p0,tesztalany1
